ID	Year of Study	Acquired Skills
10524	5	Compilation, Security, Design, Dynamic Structures
19554	4	Java, Python, Compilation, Robotics, Algorithmic
14948	4	Probability, C++
14599	5	Software Engineering, Statistics, Probability, Design
14895	4	Static Structures, Dynamic Structures, Statistics, Probability
10418	2	Dynamic Structures, Compilation
15065	4	Algorithmic, Probability
17305	5	Mathematics, Java, Python
13204	2	Statistics, Mathematics, Web Development
16897	3	Algorithmic, C++, Java
12356	4	C++, Statistics, Probability
16284	3	Python
18663		Mathematics, Compilation
11864	2	Design, Probability, Static Structures, Algorithmic
15471	5	Python, Java
18328	5	Design, Statistics
16786	5	Python, Web Development, Probability, Mathematics, Static Structures
14868	4	Software Engineering
14346	2	Statistics, Dynamic Structures
18098	1	Web Development
10379	2	Python, Algorithmic, Static Structures, Dynamic Structures, Software Engineering
18511	1	Dynamic Structures, Robotics, Algorithmic
12411	2	Java, C++, Algorithmic, Design, Python
15187	5	Algorithmic, Robotics, Mathematics, Software Engineering
11943	5	Design
14233	1	Security
13201	4	Java
16481	1	Python
14216	4	Python
14003	3	Probability, Software Engineering
19017	5	Robotics, Probability, Static Structures, Design
18965	1	Web Development, Python, Software Engineering, Design, Robotics
16427	3	Software Engineering, Design, Probability
19550	4	Statistics
15440	4	C++, Python, Java, Web Development, Robotics
17100	2	Java, Static Structures
13454	2	Algorithmic, Security, Software Engineering, Web Development
10586	1	Robotics
15000	1	Python, Java, Statistics, Static Structures
10143	4	Algorithmic
18837	1	Static Structures, Design, Web Development, Algorithmic, Probability
10704	3	Mathematics, Web Development, Probability, Software Engineering, Statistics
16911	1	Statistics
17965	4	Algorithmic, Web Development, Statistics, C++, Python
14126	4	Web Development
13316	4	C++
15060	3	Software Engineering, Web Development, Compilation, Design
19967	4	Python, Software Engineering, Robotics, Static Structures, Mathematics
13662		Probability, Web Development, Compilation, Static Structures, Java
17876	1	Probability
19688	3	Python, C++, Probability
12389	4	Design, Algorithmic, Mathematics
11798	4	Python, Design, Statistics, Software Engineering
13140	2	Static Structures
18819	1	Statistics, Java
16452	5	Python, Security, C++, Probability, Java
19921	1	Mathematics, Algorithmic, Dynamic Structures, Web Development
11379	3	Security, Python, Statistics, Design
19661	1	Probability, Design, Mathematics, Web Development, Software Engineering
15002	4	Software Engineering, Statistics
15233	4	Mathematics, Dynamic Structures, Design
10625	5	Python, Compilation
18111	1	Compilation, Mathematics, Security, Algorithmic, Java
16466	5	Statistics
18293	1	Design, Robotics
16051	5	Mathematics, Web Development
18816	4	Mathematics, Security, Dynamic Structures
16781	1	Software Engineering, Dynamic Structures
16889	4	Python, Design, Probability, Mathematics
18599	4	Software Engineering, Algorithmic
19266	4	Design, Mathematics, Security, Web Development, Python
13936	3	Java
17529	5	Mathematics, Security, C++, Statistics
13981	3	Dynamic Structures, Python, Java, Compilation
11105	3	Static Structures, Security
16823	2	C++, Dynamic Structures
15103	4	Robotics, Statistics, C++
11367	3	Algorithmic, Mathematics
15673	2	Algorithmic, Java, Software Engineering
10672	3	Static Structures, Web Development
15760	3	Design
14037	2	Software Engineering, Java
18866	2	
17134	3	Robotics, Security, Java, Python
14274	1	Robotics, Design, Dynamic Structures, C++, Mathematics
14582	3	Security, Compilation, Java, Probability, Algorithmic
13726	5	Probability, Algorithmic, Design
19534	2	Design
16954	3	Mathematics
18619	1	
14573	4	Web Development, Statistics, Software Engineering, Probability
17253	5	Security, Java, Probability, Python, Compilation
12048	5	Probability, Algorithmic, Python
11942	3	C++, Dynamic Structures, Python, Robotics, Security
12393	5	Security, Robotics, Dynamic Structures, Python
17674	2	C++
14747	1	Mathematics, Algorithmic, Java, Robotics, Compilation
12221	3	Algorithmic, Statistics, Dynamic Structures, Static Structures
15257	4	Mathematics
13973	1	Web Development, Static Structures, C++
17291	5	
12574	4	Web Development, Robotics, Probability, Software Engineering
12837	5	Design, Software Engineering, Dynamic Structures
17713	5	Compilation, Software Engineering, Security, Design
10963	5	Probability
17074	1	Robotics, Security, Algorithmic, Web Development
14046	5	Web Development, Robotics, Design, Python
16627	1	Static Structures, Mathematics, Java
14660	4	Dynamic Structures
13698	4	Design, Probability, Compilation
18567	4	Dynamic Structures, Software Engineering, Algorithmic, Python
12243	1	Design, Python, Web Development, Security
16641	5	Robotics, Java, Software Engineering
10085		Probability, Web Development, Static Structures
18476	5	Compilation, Security, Python, Probability
15300	2	Design, Mathematics
12606	2	Static Structures
18125	2	Dynamic Structures, Design, Software Engineering, Statistics, Python
15823	1	Robotics, Security, Software Engineering, Algorithmic
12276	3	Statistics
19074	2	Python, Web Development, Design, Software Engineering
15529	1	Static Structures, Design, Security
15003	5	Robotics, Web Development, Python, Dynamic Structures
11966	4	
16826	3	
19707	3	
19532	3	Software Engineering, Python
17343	1	Dynamic Structures, Compilation
10057	5	Security, Probability
13468	2	Probability, Software Engineering, Design, Robotics, Java
12026	2	Java, Security, Design
12835	5	Static Structures, Design, Dynamic Structures
18683	5	Algorithmic, C++, Static Structures
16400	4	Mathematics, Robotics, C++
15477	5	Compilation, Probability
14729	2	Web Development, Probability
16948	1	Security, Static Structures
14656	1	
14657	2	Mathematics, C++, Algorithmic
10283	5	Probability, Dynamic Structures, Python, Java
13217	3	Probability
12186	5	Robotics, Mathematics, Web Development, C++, Compilation
16998	2	Python
18677	2	Python
19896	2	Design
13721	2	Security, Algorithmic, Mathematics, Dynamic Structures, Robotics
14786	4	Java, Statistics, Dynamic Structures, Algorithmic
11506	2	Algorithmic, Robotics, Dynamic Structures, Mathematics
12166	2	Mathematics
17169	4	Compilation
18496	1	Probability, Compilation
12013	2	Compilation, Design
16545	2	Java, Probability, Mathematics
17826	5	Design
13521	4	Design
18332	2	Python, Dynamic Structures, C++, Security, Algorithmic
11912	3	Mathematics
16210	3	Static Structures
17811	4	Security, Compilation, Python, Mathematics, Design
12800	5	Compilation, Probability, Python, Mathematics
12073	3	Software Engineering, Statistics
13085	4	Static Structures
15991	5	Probability
19730	3	Python, Mathematics
16730	5	Compilation
12675	2	Algorithmic, Statistics
19601		Robotics, Mathematics, Java, Compilation, C++
12951	5	Compilation, Software Engineering, Web Development, Robotics, C++
16582	1	Static Structures, Algorithmic, Probability, Statistics, C++
10362	2	Static Structures, Probability
18977	4	Robotics, Compilation, Probability, Algorithmic
11320	2	Java, Python
15351	5	Robotics, Static Structures, Design, C++
15901	5	Design, Statistics
11740	1	Dynamic Structures, Design, Algorithmic, Software Engineering
13821	5	Mathematics, Security, Design
10246	2	Robotics
14093		Mathematics, Static Structures
16274	2	C++, Security, Software Engineering, Python
12537	5	Software Engineering, Security, Algorithmic, Probability
18565	1	Java, Dynamic Structures
19417	4	
14652	1	C++, Java, Software Engineering, Dynamic Structures
19519	4	Algorithmic
19893	4	Mathematics, Dynamic Structures, Design
13839	4	C++, Compilation, Security, Software Engineering
13649	1	Probability, Algorithmic
12973	2	Python, Statistics, Compilation, Design
18679	3	C++, Algorithmic
16969	2	Algorithmic, Statistics, Python, C++, Robotics
18585	5	Statistics, Robotics, Dynamic Structures, Mathematics, Probability
19997	2	Mathematics, Compilation
16573	2	C++, Mathematics, Web Development
11842	4	Mathematics, Statistics, C++, Dynamic Structures, Static Structures
11433	3	Dynamic Structures, Static Structures
13954	1	Web Development
14883	5	Compilation, Python, Java
10604	5	
10385	5	
11134	3	Compilation, Robotics, Software Engineering, Java, C++
12372	3	Java, C++, Web Development, Algorithmic
13840	4	Security, Java, Static Structures
15973	3	Software Engineering, Python, Statistics
14828	1	Robotics, Python, Design, C++
13562	2	Algorithmic
10873	1	Python, Robotics, Probability, Design, Security
14769	5	Probability, Dynamic Structures
14672	1	Statistics, Mathematics, Web Development, Design, Probability
12853	2	Compilation, Statistics, Java, Static Structures, C++
13327	1	Design, Python, Probability, C++
13385	1	Robotics, Design, Python, Security
14492	2	C++, Mathematics, Probability
15531	5	C++
11993	2	Static Structures, Java, Mathematics, C++, Security
10882		Python, Design, Web Development
16351	1	Java, Probability, Software Engineering, Python
15442	3	Compilation, Probability, Security, Software Engineering, Design
19505	5	Security, Dynamic Structures, Design, C++, Software Engineering
16109	4	Web Development, Compilation, Probability
10718	2	Probability, Web Development
10740	3	Algorithmic, Software Engineering, Compilation, Web Development
15284	5	Python, Mathematics, Compilation, Security
15873	1	Dynamic Structures, Algorithmic, Python
17240	2	Mathematics, Probability, Algorithmic
10042	1	Algorithmic
13859	3	Security
19588	3	Java, Python, Dynamic Structures
17123	2	Static Structures, Mathematics, Python, Security
11274	1	Security, Mathematics, Static Structures
15527	2	Probability, Design, Dynamic Structures
16813	4	Software Engineering, Statistics, Python
16434	4	Web Development, Probability, Software Engineering
11088	4	Statistics, Dynamic Structures
16365	4	Static Structures, Java, C++
13218	5	Mathematics, Static Structures
11194	5	Robotics, Design, Dynamic Structures, Compilation
11028	2	Web Development
17081	2	Compilation
10992	1	Java
11391	2	Probability, Robotics
11622	4	Security, Probability
16134	5	Web Development, Robotics, Static Structures, Probability, Software Engineering
13487	5	C++, Security
12703	1	Static Structures, Software Engineering, Probability
13480	1	Python, Statistics, Robotics
16540	5	Algorithmic, Dynamic Structures
13403	3	Static Structures, Compilation, C++, Security, Java
11680		C++, Mathematics
14655	1	Mathematics, Design, Compilation, Robotics
15915	2	Compilation, Probability, Robotics, Static Structures
16232	4	Web Development, Algorithmic, Compilation
16022	4	
15178	3	Compilation, Python
18803	4	Java, Mathematics, Compilation, Algorithmic, Statistics
19830	5	Python, Statistics, Design
14971	3	Mathematics, Java
18692	4	Dynamic Structures, Static Structures, Web Development
19878	3	Algorithmic, Robotics, Design
19859	1	Compilation
18102	1	
13344	4	Dynamic Structures, Software Engineering
16000	3	Statistics
16655	3	Statistics, C++
10120	2	Algorithmic, Compilation, Security, Design, Software Engineering
14699	2	C++, Mathematics, Statistics
14281	5	Algorithmic, Static Structures, Mathematics
19483		Compilation
17029	2	Web Development
11598	3	Compilation, Python
10462	2	Dynamic Structures, C++, Static Structures, Design, Algorithmic
18505	4	Mathematics, Design, Security, Robotics
12067	4	Software Engineering, Dynamic Structures, Algorithmic, Mathematics, Static Structures
11670	1	C++, Algorithmic, Web Development, Mathematics
11985	2	Statistics
18895	1	Compilation, Static Structures, Dynamic Structures, Java, Algorithmic
19917	5	Design
15265	4	Compilation, Security, Statistics, Software Engineering
10053	1	C++, Algorithmic
19849	3	Robotics
10183	1	Statistics
12549	2	Mathematics, Dynamic Structures
17288	3	Statistics
18869	4	Software Engineering, Algorithmic, Web Development, Dynamic Structures
13705	5	Web Development, Mathematics
14130	3	Java, Design, Web Development, Robotics
15191	3	Mathematics, Statistics
13707	1	Probability, Dynamic Structures, Robotics
10335	1	Mathematics, Probability, Robotics
16461	3	Web Development
11516		Web Development, Algorithmic, Probability
19431	5	Security, Algorithmic
19784	5	Compilation
14808	4	Design, Probability, Java, Mathematics
10147	5	Java, Software Engineering
14359	5	Python, Security
18430		
11503		Statistics, Probability
13301		Software Engineering, Java, Statistics
10832	5	Java, Probability, Security, Compilation, Design
14886	4	Algorithmic, Robotics, C++, Security, Software Engineering
14621	4	Security
12983		Dynamic Structures, Probability
19223	1	Robotics, Mathematics, Python, Static Structures, Software Engineering
19395	4	Dynamic Structures, Python, Statistics, Static Structures, Design
12438	3	Security
14519	2	Python
10197	5	Robotics
16884	2	Robotics, Software Engineering, Web Development, Python
16857		Algorithmic, Dynamic Structures
18748	4	
12751	2	
17799	1	Statistics, Security, Python, Robotics, Design
14483	2	Design, Security, Robotics
17988	4	Robotics, Python
15368	4	Python, Software Engineering, Algorithmic
10983	5	Algorithmic, Web Development
15460	4	Security, Compilation, Web Development
12366	1	Probability
18093	5	Dynamic Structures, Static Structures
16127	3	Web Development, Robotics, Software Engineering, Dynamic Structures, C++
19646	4	Robotics, Compilation, Mathematics
13112	1	Statistics, Java, Algorithmic, C++, Web Development
17757	3	Python, C++, Dynamic Structures, Web Development
10135	4	Algorithmic
14825	1	Design, Java, C++, Dynamic Structures
14306	4	Static Structures, C++, Security, Algorithmic, Web Development
12761	4	Probability, C++
12211	3	Static Structures, Java, Design
13164	1	Dynamic Structures, Software Engineering, Web Development
18891	4	Robotics, C++, Mathematics, Dynamic Structures
18980	5	Algorithmic, Statistics, Design, Dynamic Structures
18902	5	Dynamic Structures, Statistics, C++, Python
13775	3	Software Engineering
17670	1	Python, Design, Statistics, Static Structures, Software Engineering
11709	5	Probability, Java
12170	3	Java, Design, Statistics
12051	2	Statistics, Software Engineering, Robotics
14298	4	Static Structures, C++, Software Engineering, Compilation, Web Development
19524	3	Robotics, Compilation, Statistics, Static Structures, Algorithmic
10924	1	Static Structures, Security
14442	2	Algorithmic, Static Structures
11708	3	Compilation, Dynamic Structures, Algorithmic, Robotics, Software Engineering
10059	4	Algorithmic, C++, Probability, Web Development, Compilation
16978	2	Design
11848	2	
16962	3	Web Development, C++, Probability, Robotics
10192	4	Probability, Compilation, Web Development
10700	4	Statistics, Static Structures
13625	5	Security, Algorithmic
12430	5	Mathematics, Security
18533	2	C++, Statistics
12050	1	Java, C++, Algorithmic
10683	3	Statistics, Algorithmic, Python, Probability, Mathematics
15338		C++, Mathematics, Design, Robotics
17617	5	Dynamic Structures, C++, Mathematics, Software Engineering
16845	4	Probability, Security
18485	2	Probability, Python, Dynamic Structures, Algorithmic
14402	2	Compilation, Statistics, Security
13050		Python, Statistics
15610	4	Python, Dynamic Structures, Java, Compilation, Statistics
11802	4	Python, Dynamic Structures, Statistics
11733	5	
12727	3	Dynamic Structures, C++
16878	4	Probability, Statistics
11744	3	Software Engineering, Static Structures, Design
15633	4	Dynamic Structures, Probability, Statistics, C++
16530	4	Robotics, Compilation, Static Structures, Design, Software Engineering
19134	2	Static Structures, Dynamic Structures, Robotics, Java
18637	3	Algorithmic, Java, Probability, Software Engineering
10630	2	Algorithmic
19276	1	Algorithmic, C++, Probability, Static Structures, Design
11310	2	Static Structures, Compilation, Dynamic Structures, Probability, Software Engineering
12415	5	Static Structures, Compilation, Robotics, Probability
14457	3	Security, Algorithmic
17828	2	Mathematics, Java, Statistics, Web Development, Static Structures
11037	1	Algorithmic, Design
18159	2	Statistics
11715		Robotics, Compilation
17488	1	Static Structures, Java, Probability, Dynamic Structures, Statistics
11793	5	C++, Design, Statistics, Robotics, Java
15649	2	Software Engineering, Algorithmic
19606	1	Statistics, Algorithmic, Python
19194	3	Static Structures, Mathematics, C++, Probability, Java
12497	3	Web Development, Dynamic Structures, C++, Robotics, Software Engineering
18527	3	C++, Design
17203	3	Compilation, Algorithmic, Design, Robotics
11122	2	Static Structures, Design, Probability, Python
15705	1	Statistics, Compilation
10584	2	Python, C++, Mathematics
19363	4	Robotics, Python, Compilation, C++, Algorithmic
15147	3	Probability, Statistics
18964	1	Robotics, Algorithmic
18662	4	Compilation, Design, Statistics, Software Engineering, Mathematics
14584	1	Security, Robotics, Python, Mathematics, C++
14157	5	Algorithmic, Mathematics
11473	5	Probability, C++
17378	4	Dynamic Structures
11497	2	Security, Statistics, Algorithmic
13581	2	Probability, Mathematics, Python, C++, Algorithmic
12080	2	Mathematics, Web Development, Robotics, Java
10090	3	Mathematics, Python
13823	4	Software Engineering, Compilation, Security
19340	3	Statistics, Python, Mathematics, Dynamic Structures, C++
19157	4	Algorithmic, Java, Mathematics, Dynamic Structures
10624		Python, Statistics
19093	3	Software Engineering, Robotics, Algorithmic, Statistics, Web Development
13503	3	Software Engineering
15412	5	Statistics, Web Development
12754	1	Design, Mathematics, Static Structures
12498	5	Web Development, Dynamic Structures
17447	1	Statistics, Probability, Web Development, Algorithmic, Java
17523	3	Java, Security, Design
15510	1	Dynamic Structures, Static Structures
14554	1	Python, Compilation, Probability, Web Development, Security
16770	1	Static Structures, Python
11903	1	Java, Static Structures, C++, Dynamic Structures
14312	2	Robotics, Software Engineering
15295	1	Java
15963	1	Java, Static Structures, Probability, Web Development
14905	2	Mathematics, C++
10470	2	Security, Compilation, Dynamic Structures
14613	2	Compilation, Static Structures, Design, C++
18577	2	Probability, Web Development
18849	4	Dynamic Structures, Statistics
15821	4	C++, Web Development
10844	3	Security, Dynamic Structures
13870	5	Software Engineering, Java, Web Development, Dynamic Structures
19421	1	Probability
11916	3	Software Engineering, Mathematics
13160	3	Design, Mathematics, Probability, Python
14106	5	Software Engineering
10097	3	
17861	3	Dynamic Structures, Compilation, Robotics, Mathematics
13622		Compilation, Robotics, Security, Algorithmic, Statistics
14437	1	Algorithmic, Software Engineering, Static Structures, Robotics
16525	1	Algorithmic
14065	3	Dynamic Structures, Software Engineering, Mathematics, Web Development
11967	1	Java, Statistics, Mathematics
11341	1	Static Structures, Statistics, Web Development, Algorithmic
16023	4	Dynamic Structures
15562	5	Robotics, Statistics, Java
12779	5	Java, Software Engineering, Web Development
19331		Python, C++, Web Development, Compilation
14094	3	Design, Robotics, Compilation, Web Development, Dynamic Structures
16415	2	Java, Robotics, Static Structures, Compilation
17545	3	Software Engineering, Dynamic Structures, Design
19520	1	Security
11960	2	Security
16213	1	Algorithmic, Robotics, Compilation, Python, Security
13174	4	Mathematics, Algorithmic
17317	5	Probability, Security, Static Structures, C++, Statistics
14744	4	Compilation, Python, Design, Probability
19685	5	Probability, Algorithmic, Statistics
18714	2	Design, Robotics, Java, C++, Probability
11384	5	Mathematics, C++, Static Structures
18136	1	Statistics, C++, Software Engineering
17006	4	Compilation, Robotics, Probability, Static Structures, Design
18106	4	Web Development, Dynamic Structures, Java, Robotics, Static Structures
12332	5	
15585	5	Web Development, Software Engineering, Static Structures, Robotics, Compilation
15377	3	Dynamic Structures
18953	2	Python, Java, Security, C++
19203	2	Probability, Compilation, Java, Mathematics
10603	5	Design
12583	2	
15385	4	Web Development, Python, Java, Mathematics
12760	3	C++, Security
16305	1	Static Structures
19393	3	Mathematics, Python
18552	2	Static Structures, Java, Design, C++
18553	2	Probability, Design, C++, Algorithmic, Python
13293		Python
17769	4	Security, Web Development, Dynamic Structures, Java, Design
12515	1	Dynamic Structures, Compilation
13729	4	Statistics, Probability
17919	2	Web Development, Dynamic Structures, Mathematics
10727	5	
14168	5	Java, Software Engineering, Statistics, Web Development, Probability
17792	3	Web Development, Design
11738	2	Security, C++, Python, Design
14903	2	Algorithmic
13956	3	Statistics, Java, Web Development, Mathematics
11385	4	Static Structures, C++, Dynamic Structures
11836	3	Java, Algorithmic, Python, Web Development
10840	3	Dynamic Structures, Mathematics, Algorithmic
16279	2	Web Development, C++
16804	4	Java, Security, Robotics, Probability, Dynamic Structures
15310	3	
16647	3	Dynamic Structures, Mathematics, Compilation, Static Structures, Python
15595	2	Web Development, Statistics
16074	2	C++, Dynamic Structures, Web Development, Security
11286	4	Software Engineering, Design, Security, Static Structures, Compilation
16122	4	Algorithmic, Mathematics, Security, Statistics, Robotics
16841	2	Robotics, C++
13376	2	Software Engineering, Robotics, Mathematics
18267	2	Probability, Software Engineering
11676	4	Algorithmic, Security, C++, Software Engineering, Dynamic Structures
18733	2	Statistics, Probability
10404	1	Software Engineering, Statistics, Static Structures
17273	2	C++
18272	3	Algorithmic, C++, Compilation, Software Engineering, Dynamic Structures
17655	2	Dynamic Structures, Java
17699	1	Dynamic Structures, Robotics, Compilation, Static Structures, Software Engineering
15105	5	Python
16939	1	Design, Web Development, Dynamic Structures
11589	2	Security, Java, Software Engineering, Probability
17386	5	Python, Robotics, C++
18716	2	Algorithmic, Robotics, Mathematics, Design
15726	1	Robotics, Design, Software Engineering
17301	5	Mathematics, Software Engineering, Probability
15235		Statistics
18478	1	Security, Mathematics, Dynamic Structures, Software Engineering, Static Structures
13896	1	Java, Robotics
16892	5	Java
16799	5	
10382	1	Statistics, Compilation
10659	5	Algorithmic
12716	3	Web Development, Dynamic Structures, Probability
14170	4	Design
11635	2	Software Engineering, Robotics, Design, Dynamic Structures, Security
10354	1	Design, Java, Mathematics, Web Development
12713	5	Software Engineering, Static Structures, Design, Security, C++
17606	2	Design, Python, C++, Robotics
10298	5	Static Structures, Security, Probability, Statistics, Algorithmic
